Country,Count
israel,2050
gaza,1456
india,1282
china,1121
russia,899
iran,467
new york,329
japan,268
california,257
america,243
pakistan,223
france,219
kenya,215
netflix,205
canada,200
south africa,195
germany,195
malaysia,192
spain,185
egypt,180
new zealand,179
london,176
afghanistan,174
texas,159
italy,157
taiwan,156
indonesia,155
brazil,154
hong kong,149
australia,146
saudi arabia,144
florida,144
qatar,139
poland,138
georgia,135
mexico,134
washington,132
myanmar,132
iraq,124
paris,123
north korea,123
syria,123
singapore,112
uk,111
lebanon,110
chicago,110
hungary,108
netherlands,104
moscow,97
yemen,89
ukraine,88
rwanda,88
liberia,87
haiti,83
dubai,81
thailand,80
azerbaijan,78
colorado,71
south korea,71
finland,71
ghana,70
san francisco,69
n’t,65
scotland,64
brussels,64
los angeles,61
beijing,60
boston,59
panama,58
toronto,57
switzerland,55
estonia,55
venezuela,54
west bank,54
morocco,53
britain,53
ethiopia,52
pennsylvania,52
bulgaria,52
mumbai,52
portugal,50
tokyo,49
new york city,48
gaza strip,47
sri lanka,43
new jersey,41
uganda,40
berlin,39
gaza city,39
nigeria,36
argentina,34
cuba,34
miami,34
albania,33
kazakhstan,33
libya,32
oregon,32
virginia,32
arizona,32
cambodia,32
